year,month,volume
2020,Dec,2322189600
2020,Nov,682151500
2021,Apr,1889857500
2021,Aug,1461542800
2021,Dec,2444766700
2021,Feb,1833855600
2021,Jan,2240262000
2021,Jul,1919035100
2021,Jun,1606590000
2021,Mar,2650418200
2021,May,1711934900
2021,Nov,1691029000
2021,Oct,1565079200
2021,Sep,1797835100
2022,Apr,1687795600
2022,Aug,1510239600
2022,Dec,1675731200
2022,Feb,1627516300
2022,Jan,2108446000
2022,Jul,1447125400
2022,Jun,1749099800
2022,Mar,2180800100
2022,May,2401040300
2022,Nov,1724847700
2022,Oct,1868139700
2022,Sep,2084722800
2023,Apr,969709700
2023,Aug,1322439400
2023,Dec,1062774800
2023,Feb,1307198900
2023,Jan,1443652500
2023,Jul,996066400
2023,Jun,1297101100
2023,Mar,1520266600
2023,May,1275155500
2023,Nov,1099586100
2023,Oct,1172719600
2023,Sep,1337586600
2024,Apr,1245717000
2024,Aug,1122667000
2024,Feb,1161627000
2024,Jan,1187219300
2024,Jul,1153099800
2024,Jun,1723984500
2024,Mar,1432782800
2024,May,1336537700
2024,Nov,273340000
2024,Oct,971404912
2024,Sep,1232140300
