index,temperature,season
2019-03-10,-3.7,0
2019-04-02,-4.6,0
2019-04-03,-6.75,0
2019-04-04,-7.300000000000001,0
2019-04-05,-6.25,0
2019-04-30,-7.1,0
2019-10-09,-3.3499999999999996,0
2019-10-26,-5.449999999999999,0
2019-10-27,-6.95,0
2019-10-28,-8.7,0
2019-10-29,-10.2,0
2020-03-08,-17.2,0
2020-03-09,-14.1,0
2020-03-12,-13.05,0
2020-03-13,-20.0,0
2020-03-14,-21.2,0
2020-03-15,-12.05,0
2020-03-16,-7.75,0
2020-03-17,-13.7,0
2020-03-18,-13.1,0
2020-03-19,-13.0,0
2020-03-20,-7.949999999999999,0
2020-03-22,-3.0999999999999996,0
2020-03-23,-6.5,0
2020-03-24,-13.7,0
2020-03-25,-5.8,0
2020-03-26,-3.8,0
2020-03-27,-6.85,0
2020-03-28,-14.350000000000001,0
2020-03-29,-13.8,0
2020-03-30,-13.1,0
2020-03-31,-16.15,0
2020-04-01,-16.5,0
2020-04-02,-19.5,0
2020-04-03,-13.2,0
2020-04-04,-8.15,0
2020-04-05,-3.2,0
2020-04-06,-3.8,0
2020-04-07,-3.3,0
2020-04-08,-3.4000000000000004,0
2020-04-11,-6.55,0
2020-04-12,-9.0,0
2020-04-13,-5.05,0
2020-10-14,-3.0,0
2020-10-15,-4.449999999999999,0
2020-10-16,-6.25,0
2020-10-17,-6.1,0
2020-10-18,-5.85,0
2020-10-19,-4.5,0
2020-10-20,-4.45,0
2020-10-21,-5.15,0
2020-10-22,-7.1,0
2020-10-23,-6.4,0
2020-10-24,-4.45,0
2020-10-25,-4.2,0
2020-10-26,-3.25,0
2020-10-28,-4.9,0
2020-10-29,-4.5,0
2020-10-30,-6.25,0
2020-10-31,-6.65,0
2020-11-01,-7.75,0
2021-03-15,-5.75,0
2021-03-21,-6.800000000000001,0
2021-03-22,-12.4,0
2021-03-23,-11.850000000000001,0
2021-03-24,-7.85,0
2021-03-25,-12.85,0
2021-03-26,-9.0,0
2021-03-27,-3.7,0
2021-03-29,-10.350000000000001,0
2021-03-30,-11.5,0
2021-04-11,-7.4,0
2021-04-12,-3.25,0
2021-04-22,-3.45,0
2021-04-23,-5.15,0
2021-04-27,-8.55,0
2021-10-31,-3.3,0
2021-11-01,-4.05,0
2021-11-02,-3.75,0
2022-03-13,-17.7,0
2022-03-14,-15.950000000000001,0
2022-03-15,-9.85,0
2022-03-24,-6.0,0
2022-03-25,-13.399999999999999,0
2022-03-26,-10.850000000000001,0
2022-03-27,-3.9000000000000004,0
2022-03-28,-4.4,0
2022-04-01,-5.85,0
2022-04-10,-6.199999999999999,0
