index,volume,season
2020-11-19,74113000,0
2020-11-20,73604300,0
2020-11-25,76499200,0
2021-02-05,75693800,0
2021-02-08,71297200,0
2021-02-09,76774200,0
2021-02-10,73046600,0
2021-02-11,64280000,0
2021-02-12,60145100,0
2021-04-01,75089100,0
2021-04-21,68847100,0
2021-04-26,66905100,0
2021-04-27,66015800,0
2021-05-03,75135100,0
2021-05-17,74244600,0
2021-05-18,63342900,0
2021-05-20,76857100,0
2021-05-24,63092900,0
2021-05-25,72009500,0
2021-05-28,71311100,0
2021-06-01,67637100,0
2021-06-02,59278900,0
2021-06-03,76229200,0
2021-06-04,75169300,0
2021-06-07,71057600,0
2021-06-08,74403800,0
2021-06-10,71186400,0
2021-06-15,62746300,0
2021-06-22,74783600,0
2021-06-23,60214200,0
2021-06-24,68711000,0
2021-06-25,70783700,0
2021-06-28,62111300,0
2021-06-29,64556100,0
2021-06-30,63261400,0
2021-07-12,76299700,0
2021-07-21,74993500,0
2021-07-22,77338200,0
2021-07-23,71447400,0
2021-07-26,72434100,0
2021-07-30,70440600,0
2021-08-02,62880000,0
2021-08-03,64786600,0
2021-08-10,69023100,0
2021-08-12,72282600,0
2021-08-13,59375000,0
2021-08-20,60549600,0
2021-08-23,60131800,0
2021-08-25,58991300,0
2021-09-02,71115500,0
2021-09-03,57808700,0
2021-09-08,74420200,0
2021-09-16,68034100,0
2021-09-21,75834000,0
2021-09-22,76404300,0
2021-09-23,64838200,0
2021-09-27,74150700,0
2021-09-29,74602000,0
2021-10-07,61732700,0
2021-10-08,58773200,0
2021-10-11,64452200,0
2021-10-12,73035900,0
2021-10-14,69907100,0
2021-10-15,67940300,0
2021-10-19,76378900,0
2021-10-20,58418800,0
2021-10-21,61421000,0
2021-10-22,58883400,0
2021-10-26,60893400,0
2021-11-01,74588300,0
2021-11-02,69122000,0
2021-11-04,60394600,0
2021-11-05,65463900,0
2021-11-10,65187100,0
2021-11-12,63804000,0
2021-11-15,59222800,0
2021-11-16,59256200,0
2021-11-24,69463600,0
2021-11-26,76959800,0
2021-12-23,68356600,0
2021-12-27,74919600,0
2021-12-29,62348900,0
2021-12-30,59773000,0
2021-12-31,64062300,0
2022-01-11,76138300,0
2022-01-12,74805200,0
2022-02-07,77251200,0
2022-02-08,74829200,0
2022-02-09,71285000,0
2022-02-15,62527400,0
2022-02-16,61177400,0
2022-02-17,69589300,0
2022-03-03,76678400,0
2022-03-17,75615400,0
2022-04-04,76468400,0
2022-04-05,73401800,0
2022-04-07,77594700,0
2022-04-08,76575500,0
2022-04-11,72246700,0
2022-04-13,70618900,0
2022-04-14,75329400,0
2022-04-18,69023900,0
2022-04-19,67723800,0
2022-04-20,67929800,0
2022-06-01,74286600,0
2022-06-02,72348100,0
2022-06-06,71598400,0
2022-06-07,67808200,0
2022-06-09,69473000,0
2022-06-22,73409200,0
2022-06-23,72433800,0
2022-06-27,70207900,0
2022-06-28,67083400,0
2022-06-29,66242400,0
2022-07-01,71051600,0
2022-07-05,73353800,0
2022-07-06,74064300,0
2022-07-07,66253700,0
2022-07-08,64547800,0
2022-07-11,63141600,0
2022-07-12,77588800,0
2022-07-13,71185600,0
2022-07-15,76259900,0
2022-07-20,64823400,0
2022-07-21,65086600,0
2022-07-22,66675400,0
2022-08-01,67829400,0
2022-08-02,59907000,0
2022-08-08,60276900,0
2022-08-09,63135500,0
2022-08-10,70170500,0
2022-08-12,68039400,0
2022-08-18,62290100,0
2022-08-19,70346300,0
2022-08-22,69026800,0
2022-08-29,73314000,0
2022-09-01,74229900,0
2022-09-02,76957800,0
2022-09-06,73714800,0
2022-09-09,68028800,0
2022-10-06,68402200,0
2022-10-10,74899000,0
2022-10-11,77033700,0
2022-10-12,70433700,0
2022-10-19,61758300,0
2022-10-20,64522000,0
2022-10-24,75981900,0
2022-10-25,74732300,0
2022-11-09,74917800,0
2022-11-14,73374100,0
2022-11-16,64218300,0
2022-11-18,74829600,0
2022-11-21,58724100,0
2022-11-23,58301400,0
2022-11-28,69246000,0
2022-12-01,71250400,0
2022-12-02,65447400,0
2022-12-05,68826400,0
2022-12-06,64727200,0
2022-12-07,69721100,0
2022-12-08,62128300,0
2022-12-09,76097000,0
2022-12-12,70462700,0
2022-12-20,77432800,0
2022-12-23,63814900,0
2022-12-27,69007800,0
2022-12-29,75703700,0
2022-12-30,77034200,0
2023-01-09,70790800,0
2023-01-10,63896200,0
2023-01-11,69458900,0
2023-01-12,71379600,0
2023-01-13,57809700,0
2023-01-17,63646600,0
2023-01-18,69672800,0
2023-01-19,58280400,0
2023-01-24,66435100,0
2023-01-25,65799300,0
2023-01-27,70555800,0
2023-01-30,64015300,0
2023-01-31,65874500,0
2023-02-01,77663600,0
2023-02-06,69858300,0
2023-02-08,64120100,0
2023-02-10,57450700,0
2023-02-13,62199000,0
2023-02-14,61707600,0
2023-02-15,65573800,0
2023-02-16,68167900,0
2023-02-17,59144100,0
2023-02-21,58867200,0
2023-03-03,70732300,0
2023-03-10,68572400,0
2023-03-14,73695900,0
2023-03-15,77167900,0
2023-03-16,76161100,0
2023-03-20,73641400,0
2023-03-21,73938300,0
2023-03-22,75701800,0
2023-03-23,67622100,0
2023-03-24,59196500,0
2023-03-31,68749800,0
2023-04-13,68445600,0
2023-04-21,58337300,0
2023-04-27,64902300,0
2023-05-03,65136000,0
2023-05-17,57951600,0
2023-05-18,65496700,0
2023-06-01,68901800,0
2023-06-02,61945900,0
2023-06-06,64848400,0
2023-06-07,61944600,0
2023-06-14,57462900,0
2023-06-15,65433200,0
2023-07-10,59922200,0
2023-07-12,60750200,0
2023-07-20,59581200,0
2023-07-21,71917800,0
2023-08-03,61235200,0
2023-08-08,67823000,0
2023-08-09,60378500,0
2023-08-17,66062900,0
2023-08-18,61114200,0
2023-08-30,60813900,0
2023-08-31,60794500,0
2023-09-08,65551300,0
2023-09-11,58953100,0
2023-09-14,60895800,0
2023-09-18,67257600,0
2023-09-20,58436200,0
2023-09-21,63047900,0
2023-09-26,64588900,0
2023-09-27,66921800,0
2023-10-17,57549400,0
2023-10-19,59302900,0
2023-10-20,64189300,0
2023-10-26,70625300,0
2023-10-27,58499100,0
2023-11-02,77334800,0
2023-11-06,63841300,0
2023-11-07,70530000,0
2023-11-10,66133400,0
2023-11-14,60108400,0
2023-12-05,66628400,0
2023-12-11,60943700,0
2023-12-13,70404200,0
2023-12-14,66831600,0
2024-01-03,58414500,0
2024-01-04,71983600,0
2024-01-05,62303300,0
2024-01-08,59144500,0
2024-01-16,65603000,0
2024-01-19,68741000,0
2024-01-22,60133900,0
2024-02-01,64885400,0
2024-02-05,69668800,0
2024-02-15,65434500,0
2024-03-01,73488000,0
2024-03-06,68587700,0
2024-03-07,71765100,0
2024-03-08,76114600,0
2024-03-11,60139500,0
2024-03-12,59825400,0
2024-03-14,72913500,0
2024-03-18,75604200,0
2024-03-22,71106600,0
2024-03-26,57388400,0
2024-03-27,60273300,0
2024-03-28,65672700,0
2024-04-15,73531800,0
2024-04-16,73711200,0
2024-04-19,67772100,0
2024-04-29,68169400,0
2024-04-30,65934800,0
2024-05-07,77305800,0
2024-05-13,72044800,0
2024-05-15,70400000,0
2024-05-31,75158300,0
2024-06-14,70122700,0
2024-06-26,66213200,0
2024-07-01,60402900,0
2024-07-02,58046200,0
2024-07-05,60412400,0
2024-07-08,59085900,0
2024-07-10,62627700,0
2024-07-11,64710600,0
2024-07-15,62631300,0
2024-07-17,57345900,0
2024-07-18,66034600,0
2024-07-24,61777600,0
2024-08-01,62501000,0
2024-08-06,69660500,0
2024-08-07,63516400,0
2024-09-09,67180000,0
2024-09-16,59357400,0
2024-09-18,59894900,0
2024-09-19,66781300,0
2024-10-01,63285000,0
2024-10-15,64751400,0
2024-10-31,64370100,0
2024-11-01,65276700,0
2020-11-23,127959300,1
2020-11-24,113874200,1
2020-12-01,127728200,1
2020-12-09,115089200,1
2020-12-21,121251600,1
2020-12-28,124486200,1
2020-12-29,121047300,1
2021-01-07,109578200,1
2021-01-08,105158200,1
2021-01-15,111598500,1
2021-01-20,104319500,1
2021-01-21,120150900,1
2021-01-22,114459400,1
2021-02-01,106239800,1
2021-02-22,103916400,1
2021-02-24,111039900,1
2021-03-01,116307900,1
2021-03-02,102260900,1
2021-03-03,112966300,1
2021-03-09,129525800,1
2021-03-10,111943300,1
2021-03-11,103026500,1
2021-03-16,115227900,1
2021-03-17,111932600,1
2021-03-18,121229700,1
2021-03-22,111912300,1
2021-03-31,118323800,1
2021-04-09,106686700,1
2021-04-28,107760100,1
2021-04-30,109839500,1
2021-05-11,126142800,1
2021-05-12,112172300,1
2021-05-13,105861300,1
2021-06-18,108953300,1
2021-07-06,108181800,1
2021-07-07,104911600,1
2021-07-08,105575500,1
2021-07-14,127050800,1
2021-07-15,106820300,1
2021-07-19,121434600,1
2021-07-27,104818600,1
2021-07-28,118931200,1
2021-08-16,103296000,1
2021-09-13,102404300,1
2021-09-14,109296300,1
2021-09-17,129868800,1
2021-09-20,123478900,1
2021-09-28,108972300,1
2021-10-29,124953200,1
2021-11-19,117305600,1
2021-11-22,117467900,1
2021-12-03,118023100,1
2021-12-06,107497000,1
2021-12-07,120405400,1
2021-12-08,116998900,1
2021-12-09,108923700,1
2021-12-10,115402700,1
2021-12-15,131063300,1
2021-12-20,107499100,1
2022-01-03,104487900,1
2022-01-10,106765600,1
2022-01-21,122848900,1
2022-01-25,115798400,1
2022-01-26,108275300,1
2022-01-27,121954600,1
2022-01-31,115541600,1
2022-03-08,131148300,1
2022-03-10,105342000,1
2022-03-14,108732100,1
2022-03-16,102300200,1
2022-03-18,123511700,1
2022-03-31,103049300,1
2022-04-28,130216800,1
2022-04-29,131747600,1
2022-05-02,123055300,1
2022-05-04,108256500,1
2022-05-05,130525300,1
2022-05-06,116124600,1
2022-05-09,131577900,1
2022-05-10,115366700,1
2022-05-13,113990900,1
2022-05-18,109742900,1
2022-05-23,117726300,1
2022-05-24,104132700,1
2022-05-31,103718400,1
2022-06-13,122207100,1
2022-06-16,108123900,1
2022-06-17,134520300,1
2022-07-29,101786900,1
2022-09-12,104956000,1
2022-09-13,122656600,1
2022-09-20,107689800,1
2022-09-21,101696800,1
2022-09-29,128138200,1
2022-09-30,124925300,1
2022-10-03,114311700,1
2022-10-13,113224000,1
2022-10-27,109180200,1
2022-11-10,118854000,1
2022-11-30,111380900,1
2023-01-03,112117500,1
2023-02-02,118339000,1
2023-05-05,113316400,1
2023-06-05,121946500,1
2023-06-16,101235600,1
2023-08-04,115799700,1
2023-09-07,112488800,1
2023-09-15,109205100,1
2023-12-15,128256700,1
2024-02-02,102518000,1
2024-03-15,121664700,1
2024-03-21,106181300,1
2024-04-12,101593300,1
2024-08-02,105568600,1
2024-08-05,119548600,1
2020-12-02,89004200,2
2020-12-03,78967600,2
2020-12-04,78260400,2
2020-12-07,86712000,2
2020-12-08,82225500,2
2020-12-10,81312200,2
2020-12-11,86939800,2
2020-12-14,79184500,2
2020-12-16,98208600,2
2020-12-17,94359800,2
2020-12-23,88223700,2
2020-12-30,96452100,2
2020-12-31,99116600,2
2021-01-05,97664900,2
2021-01-11,100384500,2
2021-01-12,91951100,2
2021-01-13,88636800,2
2021-01-14,90221800,2
2021-01-19,90757300,2
2021-01-26,98390600,2
2021-02-02,83305400,2
2021-02-03,89880900,2
2021-02-04,84183100,2
