index,volume,season
2020-11-19,60206000,2
2020-11-20,67488000,2
2020-11-24,72042000,2
2020-11-25,75808000,2
2020-12-02,62586000,2
2020-12-08,65726000,2
2020-12-10,60604000,2
2020-12-11,61294000,2
2020-12-15,66390000,2
2020-12-17,69486000,2
2020-12-21,76736000,2
2020-12-30,64186000,2
2020-12-31,59144000,2
2021-01-07,70290000,2
2021-01-08,70754000,2
2021-01-11,73668000,2
2021-01-12,70292000,2
2021-01-13,66424000,2
2021-01-14,61418000,2
2021-01-19,66102000,2
2021-01-25,74996000,2
2021-01-26,59104000,2
2021-01-28,62984000,2
2021-02-04,73414000,2
2021-02-05,72416000,2
2021-02-08,65148000,2
2021-02-10,63032000,2
2021-02-17,65950000,2
2021-02-18,60548000,2
2021-02-22,70314000,2
2021-02-24,60226000,2
2021-03-03,79774000,2
2021-03-10,60250000,2
2021-03-17,62372000,2
2021-03-18,72992000,2
2021-03-23,76346000,2
2021-03-24,59180000,2
2021-03-25,71270000,2
2021-03-26,66258000,2
2021-03-31,61878000,2
2021-04-05,66698000,2
2021-04-07,66924000,2
2021-04-12,65636000,2
2021-04-13,66316000,2
2021-04-14,62904000,2
2021-04-15,64672000,2
2021-04-16,63720000,2
2021-04-23,63856000,2
2021-04-27,76542000,2
2021-05-05,74226000,2
2021-05-13,67018000,2
2021-05-14,66500000,2
2021-05-17,74478000,2
2021-05-25,65222000,2
2021-06-08,68334000,2
2021-06-10,69530000,2
2021-06-21,65542000,2
2021-06-22,66902000,2
2021-06-24,76640000,2
2021-06-25,78820000,2
2021-07-02,63388000,2
2021-07-09,74964000,2
2021-07-13,76918000,2
2021-07-14,65932000,2
2021-07-15,63706000,2
2021-07-19,75692000,2
2021-07-20,65114000,2
2021-07-22,65308000,2
2021-07-28,59988000,2
2021-08-02,67078000,2
2021-08-16,66394000,2
2021-08-17,67758000,2
2021-08-19,75658000,2
2021-08-20,67168000,2
2021-08-23,65362000,2
2021-08-30,63844000,2
2021-09-01,72598000,2
2021-09-08,61068000,2
2021-09-15,59150000,2
2021-09-27,72690000,2
2021-10-05,65384000,2
2021-10-18,63482000,2
2021-10-22,62782000,2
2021-11-01,72178000,2
2021-11-03,67944000,2
2021-11-08,61480000,2
2021-11-23,73804000,2
2021-11-26,59826000,2
2021-11-29,65312000,2
2021-11-30,80022000,2
2021-12-01,74916000,2
2021-12-02,64726000,2
2021-12-06,68860000,2
2021-12-07,66410000,2
2021-12-10,60690000,2
2021-12-13,62170000,2
2021-12-15,75794000,2
2021-12-16,60876000,2
2022-01-03,63520000,2
2022-01-04,70726000,2
2022-01-05,64302000,2
2022-01-11,62806000,2
2022-01-18,67292000,2
2022-01-20,71974000,2
2022-01-27,77516000,2
2022-01-28,74392000,2
2022-01-31,78308000,2
2022-02-01,59220000,2
2022-02-08,76040000,2
2022-02-09,68786000,2
2022-02-10,68268000,2
2022-02-11,77100000,2
2022-02-17,64032000,2
2022-02-18,63604000,2
2022-02-22,66128000,2
2022-02-23,64244000,2
2022-02-25,62396000,2
2022-03-03,65198000,2
2022-03-04,60934000,2
2022-03-11,68900000,2
2022-03-14,74086000,2
2022-03-15,75584000,2
2022-03-17,72934000,2
2022-03-21,66538000,2
2022-03-22,64086000,2
2022-03-28,59854000,2
2022-03-29,66154000,2
2022-03-31,59966000,2
2022-04-06,79056000,2
2022-04-07,68136000,2
2022-04-20,59630000,2
2022-04-21,63970000,2
2022-04-22,73078000,2
2022-04-25,61874000,2
2022-04-26,77530000,2
2022-04-27,71336000,2
2022-05-03,79134000,2
2022-05-16,74566000,2
2022-05-17,76448000,2
2022-06-08,64926600,2
2022-06-09,67029800,2
2022-06-14,69728800,2
2022-06-21,70901200,2
2022-06-22,60040100,2
2022-06-23,64345300,2
2022-06-24,69867600,2
2022-06-27,62133200,2
2022-06-28,74942900,2
2022-06-29,66375300,2
2022-07-01,73021200,2
2022-07-05,76583700,2
2022-07-06,66958900,2
2022-07-13,61353800,2
2022-07-18,59115400,2
2022-07-19,60990000,2
2022-07-20,71268300,2
