index,volume,season
2020-12-02,24440000,2
2020-12-03,24546000,2
2020-12-04,27564000,2
2020-12-07,26418000,2
2020-12-09,30152000,2
2020-12-10,27256000,2
2020-12-11,24414000,2
2020-12-15,29646000,2
2020-12-16,30270000,2
2020-12-28,27860000,2
2020-12-29,25988000,2
2020-12-30,26122000,2
2021-01-11,24194000,2
2021-01-12,27140000,2
2021-01-15,26844000,2
2021-01-22,25442000,2
2021-01-26,26262000,2
2021-02-05,30702000,2
2021-02-08,24838000,2
2021-02-19,29148000,2
2021-02-22,27350000,2
2021-02-24,24966000,2
2021-03-01,28090000,2
2021-03-03,29684000,2
2021-03-10,25372000,2
2021-03-11,24782000,2
2021-03-15,25962000,2
2021-03-16,29832000,2
2021-03-17,25980000,2
2021-03-18,27228000,2
2021-03-23,27340000,2
2021-03-25,28378000,2
2021-03-26,29870000,2
2021-03-29,24596000,2
2021-03-31,29198000,2
2021-04-06,27060000,2
2021-04-07,25798000,2
2021-04-08,27166000,2
2021-04-15,27472000,2
2021-04-19,24688000,2
2021-04-21,23930000,2
2021-04-23,28670000,2
2021-05-10,26006000,2
2021-05-13,26670000,2
2021-05-14,26624000,2
2021-05-20,23832000,2
2021-05-28,24108000,2
2021-06-04,25948000,2
2021-06-07,23850000,2
2021-06-08,25060000,2
2021-06-11,25240000,2
2021-06-16,26316000,2
2021-06-17,25756000,2
2021-06-21,26256000,2
2021-06-28,28110000,2
2021-06-30,24006000,2
2021-07-19,25710000,2
2021-07-23,26378000,2
2021-07-30,23954000,2
2021-08-27,24562000,2
2021-08-31,26756000,2
2021-09-29,26338000,2
2021-10-01,28388000,2
2021-10-05,24126000,2
2021-10-22,30182000,2
2021-10-26,28258000,2
2021-10-29,28954000,2
2021-11-04,24700000,2
2021-11-18,26658000,2
2021-11-22,24608000,2
2021-11-29,26276000,2
2021-12-01,28476000,2
2021-12-03,26688000,2
2021-12-13,24104000,2
2021-12-14,24778000,2
2021-12-15,27280000,2
2021-12-16,27400000,2
2022-01-03,25214000,2
2022-01-06,29050000,2
2022-01-13,26566000,2
2022-01-14,23826000,2
2022-01-18,27382000,2
2022-01-27,30248000,2
2022-01-28,30518000,2
2022-02-09,28628000,2
2022-02-14,26792000,2
2022-02-15,26578000,2
2022-02-16,25610000,2
2022-02-23,26432000,2
2022-02-25,26236000,2
2022-02-28,29676000,2
2022-03-01,24640000,2
2022-03-02,23966000,2
2022-03-04,24446000,2
2022-03-10,24266000,2
2022-03-11,26600000,2
2022-03-14,30254000,2
2022-03-15,30292000,2
2022-03-17,23994000,2
2022-03-21,26632000,2
2022-03-22,29776000,2
2022-03-23,25302000,2
2022-03-28,23774000,2
2022-03-29,28678000,2
2022-03-31,29516000,2
2022-04-11,24188000,2
2022-04-21,30158000,2
2022-05-02,30280000,2
2022-05-13,29738000,2
2022-05-18,27982000,2
2022-05-19,29192000,2
2022-05-26,30288000,2
2022-05-27,29924000,2
2022-06-01,28630000,2
2022-06-02,27472000,2
2022-06-03,25052000,2
2022-06-06,23786000,2
2022-06-07,26414000,2
2022-06-14,25480000,2
2022-06-22,23922000,2
2022-06-23,24710000,2
2022-06-28,28232000,2
2022-07-06,28852000,2
2022-07-08,29082000,2
2022-07-11,26718000,2
2022-07-12,24970000,2
2022-07-20,26780100,2
2022-07-21,27267800,2
2022-07-25,28289900,2
2022-08-03,25302800,2
2022-08-31,25898000,2
2022-09-15,26494900,2
2022-09-20,24001700,2
2022-09-21,26596800,2
2022-09-23,25657000,2
2022-09-27,24225000,2
2022-09-28,24617000,2
2022-09-30,26277800,2
