id,datetime,open,high,low,close,volume,code
4000,2020-11-19,271.01999,273.47000,269.19000,272.94000,12963700,META
5000,2020-11-19,155.26550,156.25000,154.04601,155.85100,60206000,AMZN
1000,2020-11-19,117.59000,119.06000,116.81000,118.64000,74113000,AAPL
999,2020-11-20,118.64000,118.77000,117.29000,117.34000,73604300,AAPL
2000,2020-11-20,88.26050,88.70000,87.09300,87.10950,46270000,GOOG
3000,2020-11-20,212.20000,213.28500,210.00000,210.39000,22843120,MSFT
3999,2020-11-20,272.56000,273.00000,269.41000,269.70001,18114700,META
4999,2020-11-20,155.85100,156.64450,154.90250,154.97000,67488000,AMZN
3998,2020-11-23,270.89001,270.95001,264.53000,268.42999,20990800,META
4998,2020-11-23,155.83501,156.98750,153.27299,154.91949,94178000,AMZN
998,2020-11-23,117.18000,117.62000,113.75000,113.85000,127959300,AAPL
1999,2020-11-23,87.48000,87.69500,85.88600,86.74300,43232000,GOOG
2999,2020-11-23,210.95000,212.28999,208.16000,210.11000,25683508,MSFT
997,2020-11-24,113.91000,115.85000,112.59000,115.17000,113874200,AAPL
1998,2020-11-24,86.52500,88.58000,86.38450,88.44400,31560000,GOOG
2998,2020-11-24,209.59000,214.25000,208.86000,213.86000,33979732,MSFT
3997,2020-11-24,268.48999,277.82001,267.87000,276.92001,16930400,META
4997,2020-11-24,155.02499,156.71249,154.31300,155.90300,72042000,AMZN
3996,2020-11-25,278.14001,280.17999,272.64999,275.59000,12467000,META
4996,2020-11-25,157.09351,159.89999,157.01300,159.25349,75808000,AMZN
996,2020-11-25,115.55000,116.75000,115.17000,116.03000,76499200,AAPL
1997,2020-11-25,88.64450,88.92700,87.82700,88.57150,20916000,GOOG
2997,2020-11-25,215.11000,215.28999,212.46001,213.87000,21012888,MSFT
995,2020-11-27,116.57000,117.49000,116.22000,116.59000,46691300,AAPL
1996,2020-11-27,88.65450,90.20000,88.62200,89.65950,17698000,GOOG
2996,2020-11-27,214.85001,216.27000,214.03999,215.23000,14512213,MSFT
3995,2020-11-27,277.39001,279.13000,274.82001,277.81000,7808400,META
4995,2020-11-27,160.56300,160.80949,159.50250,159.76700,47858000,AMZN
3994,2020-11-30,276.03000,277.70001,271.01001,276.97000,16693300,META
4994,2020-11-30,160.42400,161.41949,156.27750,158.40199,81278000,AMZN
994,2020-11-30,116.97000,120.97000,116.81000,119.05000,169410200,AAPL
1995,2020-11-30,89.05920,89.40325,87.75000,88.03700,36476000,GOOG
2995,2020-11-30,214.10001,214.75999,210.83501,214.07001,33064752,MSFT
993,2020-12-01,121.01000,123.47000,120.01000,122.72000,127728200,AAPL
1994,2020-12-01,88.71850,91.24150,88.46850,89.90500,34738000,GOOG
2994,2020-12-01,214.50999,217.32001,213.35001,216.21001,30931318,MSFT
3993,2020-12-01,279.16000,289.29999,278.95999,286.54999,20738900,META
4993,2020-12-01,159.42500,162.44749,157.85899,161.00400,90740000,AMZN
3992,2020-12-02,285.35999,291.78000,280.82999,287.51999,17361600,META
4992,2020-12-02,161.08250,161.60001,158.66299,160.17650,62586000,AMZN
992,2020-12-02,122.02000,123.37000,120.89000,123.08000,89004200,AAPL
1993,2020-12-02,89.90500,91.78250,89.47365,91.39750,24440000,GOOG
2993,2020-12-02,214.88000,215.47000,212.80000,215.37000,23724508,MSFT
991,2020-12-03,123.52000,123.78000,122.21000,122.94000,78967600,AAPL
1992,2020-12-03,91.20050,92.36000,91.13250,91.33850,24546000,GOOG
2992,2020-12-03,214.61000,216.37570,213.64999,214.24001,25120922,MSFT
3991,2020-12-03,286.25000,286.64999,281.07001,281.85001,12921700,META
4991,2020-12-03,160.27299,161.43201,159.06551,159.33650,57840000,AMZN
3990,2020-12-04,280.29999,283.45999,279.29999,279.70001,10880300,META
4990,2020-12-04,159.91051,159.91051,157.93800,158.12900,58272000,AMZN
990,2020-12-04,122.60000,122.86000,121.52000,122.25000,78260400,AAPL
1991,2020-12-04,91.22600,91.65800,90.84950,91.39950,27564000,GOOG
2991,2020-12-04,214.22000,215.38000,213.17999,214.36000,24666040,MSFT
989,2020-12-07,122.31000,124.57000,122.25000,123.75000,86712000,AAPL
1990,2020-12-07,90.95000,91.61850,90.28900,90.97400,26418000,GOOG
2990,2020-12-07,214.37000,215.53999,212.99001,214.28999,24619996,MSFT
3989,2020-12-07,279.19000,288.48999,278.20001,285.57999,13007700,META
4989,2020-12-07,157.82401,159.03799,157.08450,157.89999,55026000,AMZN
3988,2020-12-08,286.01001,286.42999,281.54999,283.39999,10747700,META
4988,2020-12-08,157.94501,159.20650,156.00101,158.86450,65726000,AMZN
988,2020-12-08,124.37000,124.98000,123.09000,124.38000,82225500,AAPL
1989,2020-12-08,90.50500,91.09500,89.81025,90.92750,21926000,GOOG
2989,2020-12-08,213.97000,216.95000,212.89000,216.00999,23284094,MSFT
987,2020-12-09,124.53000,125.95000,121.00000,121.78000,115089200,AAPL
1988,2020-12-09,90.60050,91.71350,88.39050,89.20650,30152000,GOOG
2988,2020-12-09,215.16000,215.22501,211.21400,211.80000,32440604,MSFT
3987,2020-12-09,283.66000,287.63000,271.75000,277.92001,25189700,META
4987,2020-12-09,158.39450,158.72150,154.39999,155.21001,82016000,AMZN
3986,2020-12-10,275.54001,278.73001,271.85999,277.12000,20065100,META
4986,2020-12-10,154.44949,157.10500,153.80000,155.07449,60604000,AMZN
986,2020-12-10,120.50000,123.87000,120.15000,123.24000,81312200,AAPL
1987,2020-12-10,88.49000,89.06550,87.01600,88.76650,27256000,GOOG
2987,2020-12-10,211.77000,213.08000,210.36000,210.52000,26467016,MSFT
985,2020-12-11,122.43000,122.76000,120.55000,122.41000,86939800,AAPL
1986,2020-12-11,88.15300,89.22250,88.00000,89.08850,24414000,GOOG
2986,2020-12-11,210.05000,213.32001,209.11000,213.25999,30979440,MSFT
3985,2020-12-11,274.53000,276.48001,270.25000,273.54999,14391400,META
4985,2020-12-11,154.83299,155.93350,153.64101,155.82100,61294000,AMZN
3984,2020-12-14,273.37000,277.22000,271.56000,274.19000,16376900,META
4984,2020-12-14,157.14999,159.52350,156.30000,157.84850,83116000,AMZN
984,2020-12-14,122.60000,123.35000,121.54000,121.78000,79184500,AAPL
1985,2020-12-14,88.75000,89.86950,87.86075,88.00300,32004000,GOOG
2985,2020-12-14,213.10001,216.21001,212.88000,214.20000,28798380,MSFT
