year,month,volume
2020,Dec,629318000
2020,Nov,196152000
2021,Apr,614494000
2021,Aug,372312000
2021,Dec,479260000
2021,Feb,588580000
2021,Jan,661654000
2021,Jul,456776000
2021,Jun,548656000
2021,Mar,695884000
2021,May,509114000
2021,Nov,443172000
2021,Oct,496572000
2021,Sep,505198000
2022,Apr,564940000
2022,Aug,430961500
2022,Dec,498585400
2022,Feb,732650000
2022,Jan,615510000
2022,Jul,638766600
2022,Jun,627132000
2022,Mar,637420000
2022,May,717486000
2022,Nov,603449000
2022,Oct,584537500
2022,Sep,532993100
2023,Apr,461670700
2023,Aug,463482000
2023,Dec,482059400
2023,Feb,754400500
2023,Jan,526178100
2023,Jul,525456900
2023,Jun,521386300
2023,Mar,725477100
2023,May,620317400
2023,Nov,405635900
2023,Oct,514877100
2023,Sep,389593900
2024,Apr,486888300
2024,Aug,389619100
2024,Feb,475231400
2024,Jan,428771200
2024,Jul,383281217
2024,Jun,351403100
2024,Mar,507013200
2024,May,391987600
2024,Nov,109261700
2024,Oct,381759000
2024,Sep,407830547
